,price,Address,area,Bedrooms,Bathrooms
598,30000000.0,Borivali,1400.0,4.0,4.0
599,20500000.0,Borivali,1125.0,2.0,2.0
600,52500000.0,Borivali,2095.0,4.0,4.0
603,20000000.0,Borivali,1000.0,2.0,2.0
604,40000000.0,Borivali,1600.0,4.0,4.0
605,27000000.0,Borivali,1325.0,2.0,3.0
606,18600000.0,Borivali,1250.0,2.0,2.0
607,18500000.0,Borivali,1150.0,2.0,2.0
609,17500000.0,Borivali,970.0,2.0,2.0
612,23500000.0,Borivali,1130.0,3.0,3.0
613,17000000.0,Borivali,970.0,2.0,2.0
614,20000000.0,Borivali,1000.0,2.0,2.0
615,13500000.0,Borivali,545.0,2.0,2.0
617,13000000.0,Borivali,738.0,2.0,2.0
618,26500000.0,Borivali,1100.0,3.0,2.0
619,16500000.0,Borivali,909.0,2.0,2.0
620,22000000.0,Borivali,1050.0,2.0,2.0
621,22500000.0,Borivali,1080.0,2.0,2.0
622,13000000.0,Borivali,738.0,2.0,2.0
623,17500000.0,Borivali,785.0,2.0,2.0
626,14400000.0,Borivali,583.0,2.0,2.0
627,150000000.0,Borivali,6712.0,7.0,7.0
628,15000000.0,Borivali,600.0,2.0,2.0
629,14000000.0,Borivali,785.0,2.0,2.0
630,26500000.0,Borivali,1100.0,3.0,2.0
631,18500000.0,Borivali,1183.0,2.0,2.0
632,17000000.0,Borivali,1150.0,2.0,2.0
633,18500000.0,Borivali,950.0,3.0,2.0
634,45000000.0,Borivali,1800.0,4.0,4.0
636,13000000.0,Borivali,840.0,2.0,2.0
637,21600000.0,Borivali,996.0,2.0,2.0
638,12000000.0,Borivali,700.0,2.0,2.0
639,11000000.0,Borivali,565.0,2.0,2.0
640,14500000.0,Borivali,800.0,2.0,2.0
641,13000000.0,Borivali,738.0,2.0,2.0
642,13799999.999999998,Borivali,600.0,2.0,2.0
643,34000000.0,Borivali,1700.0,3.0,3.0
644,13200000.0,Borivali,750.0,2.0,2.0
645,21000000.0,Borivali,1180.0,2.0,2.0
647,24500000.0,Borivali,1325.0,2.0,2.0
648,38500000.0,Borivali,1665.0,3.0,3.0
649,14000000.0,Borivali,750.0,2.0,2.0
650,17000000.0,Borivali,984.0,2.0,2.0
652,19000000.0,Borivali,750.0,2.0,2.0
653,14500000.0,Borivali,700.0,2.0,2.0
655,16500000.0,Borivali,750.0,2.0,2.0
656,12600000.0,Borivali,835.0,2.0,2.0
657,25000000.0,Borivali,1100.0,2.0,2.0
658,16000000.0,Borivali,760.0,2.0,2.0
659,14900000.0,Borivali,840.0,2.0,2.0
660,15000000.0,Borivali,600.0,2.0,2.0
661,13000000.0,Borivali,701.0,2.0,2.0
662,16000000.0,Borivali,820.0,2.0,2.0
663,14500000.0,Borivali,668.0,2.0,2.0
664,15500000.0,Borivali,900.0,2.0,2.0
665,22000000.0,Borivali,1100.0,2.0,2.0
666,15000000.0,Borivali,725.0,2.0,2.0
